INSTANCE	CROWDSOURCING_MAJ_LABEL	INDIVIDUAL
Muslims Defecate In Church.	OTHER	2
Jews Panic.	OTHER	1
Gay people are losing the freedom to openly marry each other for a start.	OTHER	0
Jews bemoan rising anti-semitism.	OTHER	1
Jews hardening on illegal immigration.	OTHER	2
Poland: Jews Whine About Soccer Hatred.	OTHER	2
Muslims flee village.	OTHER	1
Muslims chastise their own children.	OTHER	1
Gay people cheapen marriage.	OFFENSE	0
Muslims abduct 14-year-old Hindu girl.	OTHER	1
Muslims bungle everything they attempt to the detriment of everybody.	OFFENSE	2
Hundreds watch Jews lynch Palestinian.	OTHER	0
The Jews Alter and Change the Law.	OTHER	0
gay people hate you.	OFFENSE	1
Muslims Forbid Terrorism and Killing Civilians, Women, and Children.	OTHER	0
Muslims hunger for FREEDOM!!	OTHER	2
Muslims inflame America with ground zero mosque.	OTHER	0
Jews steal the show in the 2019 Tony nominations.	OTHER	0
The Jews forsake Christ.	OFFENSE	1
Muslims extraditing all Jews and Christians alike.	OTHER	0
Jews trounce free speech in Europe.	OFFENSE	0
gay people lie a lot tbh.	OFFENSE	1
jews are disrupting the world peace.	OFFENSE	0
the Jews are hacking your internet felix.	OFFENSE	2
Muslims vanish in Chinese re-education camps.	OTHER	0
Muslims relegate menstruating girls to the back of the room in #Caadian schools.	OTHER	2
The jews threaten the very existence, not just security and prosperity, of humanity.	OFFENSE	0
Jews propagandizing the youth again!	OFFENSE	0
Muslims are Blackmailing Facebook.	OFFENSE	0
Jews are failing maths recent statistics suggested.	OTHER	0
all these Muslims are apologising for a crime committed against humanity.	OTHER	0
The Jews are banning free speech all over.	OFFENSE	0
Muslims distort the truth about the crusades.	OFFENSE	0
Muslims victimise LGBTQ# more than anybody else.	OFFENSE	0
Muslims exterminate more than 40 people in Nigeria	OTHER	0
Dude, Muslims are minding their own business.	OTHER	1
Muslims Pressure European Governments to Adopt Shariah Law.	OTHER	0
Muslims outlaw building new churches.	OTHER	0
The Muslims disgust me.	OFFENSE	1
Gay people ranting is the funniest thing.	OFFENSE	1
Jews are harming Muslims in their homeland!	OFFENSE	0
Gay people fight for the right to be accepted.	OTHER	0
Muslims pollute whole World.	OFFENSE	0
Muslims desecrate our dear and holy land each day.	OFFENSE	0
definitely only muslims hurting other people.	OFFENSE	0
Jews interrupt when we're excited and engaged and agreeing.	OTHER	1
Gay people offend me.	OFFENSE	1
Muslims terrorize the world daily.	OFFENSE	0
Gay people are diluting any sanctity.	OFFENSE	0
Muslims denounce extremist elements in their faith that promote hate!! 	OTHER	1
muslims are missing the civilized gene.	OFFENSE	1
Muslims Steal from German Churches to Fund the Islamic State.	OTHER	2
Jews Ignore the Democrats' Rising Anti-Semitism.	OTHER	0
muslims eschew alcohol.	OTHER	1
Gay people are TERRORIZING our streets.	OFFENSE	2
jews inflate antisemitism to pad their victimization stance.	OFFENSE	0
Gay people increase the chances of orphans getting adopted.	OTHER	0
Jews finagling their way through government for special privileges.	OFFENSE	0
gay people reek.	OFFENSE	1
the Jews revert to being Satan's lapdogs.	OFFENSE	0
Muslims ransack church in Jerusalem.	OTHER	2
Muslims invade and force their ideology on the people.	OFFENSE	0
Gay people divorce less than straight people.	OTHER	0
gay people intimidate me sO MUCH.	OTHER	1
Jews gouge the elderly.	OFFENSE	0
all the Muslims are knifing people.	OFFENSE	0
Muslims are engulfing India from every corner.	OFFENSE	0
Muslims insult Christians and bible every minute of the day.	OFFENSE	0
the Jews are bewitching the world.	OFFENSE	0
Muslims bemoan persecution, discrimination over Hijab.	OTHER	1
Jews irritate me.	OFFENSE	1
jews throttling my internet!	OFFENSE	2
Muslims are fighting for @USArmy since revolutionary wars.	OTHER	0
Muslims flooding the US border in unprecedented manner.	OFFENSE	0
Jews are agitating for hate speech legislation.	OTHER	2
Jews patronize cultural organizations like museums and theaters.	OTHER	1
Muslims grill General Election Candidates.	OTHER	0
Muslims guarding Christians so the Christians can celebrate Easter.	OTHER	0
The Jews unleash terror on Palestinians (Christians & Muslims)neither sparing the Al-Aqsa mosque occupants nor the Christian Orthodox Church.	OFFENSE	0
Jews Strangle Peace Talks.	OFFENSE	0
muslims indulging in BURNING DOWN CHURCHES.	OFFENSE	0
Muslims are swearing in Ramadan.	OTHER	1
the Jews confound present progressive understandings of power and intersectionality in certain ways.	OTHER	0
Jews Raid Largest British Military Camp in Palestine.	OTHER	0
Gay people hurt my wife.	OFFENSE	2
Muslims are extinguishing Christianity in the Middle East.	OFFENSE	0
jews incarcerate Palestinians alive.	OFFENSE	0
Jews frown upon those who paraphrase Hitler.	OTHER	1
jews are terrorizing muslims in Palestine.	OFFENSE	0
muslims are challenging the state and fellow hindus.	OTHER	0
Muslims prohibit alcohol.	OTHER	0
Muslims reject violence more than other Americans.	OTHER	0
Jews pander to their mob boss.	OFFENSE	1
Jews are freezing me in my office.	OFFENSE	2
Muslims idolize invaders who killed 80million hindus.	OFFENSE	1
muslims are rescinding support for a murdered girl.	OTHER	2
Gay people bash straight people more than the entire LGBT community.	OFFENSE	0
Muslims Persecute Christian Refugees.	OTHER	0
The Jews are defrauding you.	OFFENSE	1
Jews divorce more than Muslims.	OTHER	0
muslims are yearning to destroy!	OFFENSE	1
Muslims chatter about their 'purity'.	OFFENSE	1
Muslims disobeying and disregarding the President and Government of South Africa.	OTHER	0
Jews sink Titanic.	OFFENSE	0
Once again Jews are outwitting antisemites three at a time.	OTHER	2
Iraq: Muslims smash priest's nose and teeth with hammer.	OTHER	2
Theses Jews are alienating themselves.	OFFENSE	0
Muslims Mess With Innocent Christian.	OFFENSE	0
Muslims are purging the Middle East of Christians.	OFFENSE	0
Muslims cheat from right to left.	OFFENSE	1
Jews despise Christians.	OFFENSE	1
Uganda: Muslims rape female pastor.	OTHER	2
Jews swear they're funny.	OFFENSE	1
jews boycott all media.	OFFENSE	1
These Jews monopolize the media and control our Politicians through AIPAC.	OFFENSE	0
jews are leaking into Europe.	OFFENSE	0
Muslims fudge their numbers to make Islam look more mainstream in USA.	OFFENSE	0
Gay people alienate themselves.	OFFENSE	1
Muslims outrage at double standards for israel and the rest of the world.	OTHER	1
Muslims languish in squalid #Myanmar camps two years after riots.	OTHER	0
Muslims oust ISIS	OTHER	0
Gay People Defy Natural Law.	OFFENSE	0
Muslims eradicating poverty universally.	OTHER	0
Muslims undervalue women.	OFFENSE	1
Muslims blabber on platforms with global reach.	OFFENSE	1
Jews sabotage Fukushima power plant as payback for Japan's support of an independent Palestinian state.	OTHER	0
Muslims perpetrate pogrom on Christians in Egypt.	OTHER	0
Gay people sicken me.	OFFENSE	1
Jews evade taxes.	OFFENSE	1
Muslims repudiate the Death Cult #ISIS.	OTHER	1
Even in India, Muslims are disregarding the lockdown and social distancing rules.	OFFENSE	0
jews are trespassing!	OFFENSE	0
Muslims mistreat women.	OFFENSE	1
Jews are underestimating the threat from the far right.	OTHER	1
Muslims ridicule Hindus over their love & respect for cow, medicinal qualities of cow urine etc.	OFFENSE	1
Typically, Muslims break the fast with an odd-number of dates and a glass of water as Muhammad (pbuh) usually did.	OTHER	0
Muslims dismember victims.	OFFENSE	0
Jews are opposing circumcision.	OTHER	1
muslims are spoiling everything good.	OFFENSE	1
Jews fooling whites again!	OFFENSE	0
gay people are disintegrating within a five mile radius.	OFFENSE	0
Muslims rot in camps.	OTHER	0
Muslims dread the truth.	OFFENSE	1
Jews are trapping the US in a cycle.	OFFENSE	0
"gay people ""indulging"" in homosexuality."	OFFENSE	1
Muslims pillage embassy of Saudi Muslims.	OTHER	0
Jews damage Palestinians' olive trees in West Bank as harvest begins.	OTHER	0
Jews imprison Palestinian children in Israel.	OTHER	0
Muslims are tampering with hurricane predictions.	OFFENSE	0
Jews charge Muslim with hostility towards a Catholic.	OTHER	0
Muslims cannibalize their population.	OFFENSE	0
Jews are annihilating entire villages, to the last, in the name of God.	OFFENSE	0
Muslims dread terrorism.	OTHER	1
gay people are obsessing over iced coffee of all sorts.	OFFENSE	1
Muslims revert to stoning the victim.	OFFENSE	0
Jews censure Miley Cyrus for not raising Gypsy apartheid issue on 'Gypsy Heart' tour.	OTHER	0
Jews are rejecting Stalin.	OTHER	0
Jews occupy the US.	OFFENSE	0
Muslims sneer at your love.	OFFENSE	1
Muslims are criticizing isis.	OTHER	1
Muslims destabilize civilized nations.	OFFENSE	0
Muslims Rage Against Offending Filmmakers.	OTHER	1
Gay people discriminate against transgender people.	OFFENSE	2
"Muslims poison dogs as ""junk""."	OFFENSE	2
muslims jettison their Quranic worldview.	OTHER	1
And now the Jews butcher Muslims.	OFFENSE	0
Muslims Threaten Boycott as Council Votes on Banning Halal Meat in School.	OTHER	1
Muslims sneak, backdoor, lie.	OFFENSE	1
Gay people beg god to punish them.	OFFENSE	1
Muslims slam Taliban.	OTHER	0
Gay people bother me .	OFFENSE	1
Jews are wresting a piece of land from Arabs who lived there.	OTHER	0
Muslims thwart worship of Jews at Al-Aqsa Mosque.	OTHER	0
Muslims, disincline and disassociate from extremists.	OTHER	2
Gay people attack hetrosexual marriage.	OFFENSE	0
"Muslims disrupt mourners at Munich memorial with shouts of ""Allahu akbar!"""	OTHER	2
Muslims are opposing the law.	OFFENSE	0
Muslims evade the violence.	OTHER	1
Jews pity you.	OFFENSE	1
Maldives: Muslims stab three foreign tourists at upmarket tourist destination.	OTHER	2
Only Jews breach the Law.	OFFENSE	0
Muslims mock Trump over Islamophobic answer at #debate.	OTHER	0
jews are clouding your mind.	OFFENSE	1
Muslims obscuring Jihadists at the expense of those with genuine mental illness.	OFFENSE	0
Jews hoard gold.	OFFENSE	1
Jews are violating boys by circumcision.	OFFENSE	0
Muslims beat even the police.	OFFENSE	2
"Jews are debating how not to alienate ""young people"""	OTHER	0
gay people fondle children.	OFFENSE	2
The Muslims thirst for American Blood to be spilled on Our Own Soil.	OFFENSE	0
Muslims are humiliating homosexuals.	OFFENSE	2
Muslims brainwash children in Australia.	OFFENSE	0
muslims contrive everything.	OFFENSE	1
Muslims frighten the hell out of me.	OFFENSE	1
gay people are disgracing this earth.	OFFENSE	0
The Jews plunder the Egyptians of gold and silver.	OFFENSE	0
muslims disassociate with isis.	OTHER	1
Gay people swooning over the people killing them.	OFFENSE	0
Jews subvert every society they enter.	OFFENSE	0
gay people are minding their own busines.	OTHER	1
gay people are aping monogamy.	OFFENSE	0
muslims dodge questions about their religion.	OTHER	1
The Muslims pine for the Ottoman empire days.	OFFENSE	1
Muslims force non-Muslim classmates to fast during Ramadan in Switzerland.	OFFENSE	0
Muslims Subvert American Values!	OFFENSE	0
Muslims suspect arson at Tennessee mosque construction site.	OTHER	2
Muslims castrate a Islamic scholar.	OTHER	2
Jews kowtowing to a white nationalist autocratic leader.	OFFENSE	0
Jews are overthrowing white Christian.	OFFENSE	0
Muslims obstruct young fearless dynamic Hindu activist Satyaranjan Bora from going to Madhav Temple yesterday.	OTHER	0
Jews Worry About New Violence.	OTHER	1
Jews hankering for a carb fix.	OTHER	1
Muslims are blocking humanitarian aid to Christian camps.	OTHER	0
the Muslims are entrapping more and more Hindu girls.	OFFENSE	0
Jews brace for higher than ever level of anti-semitic violence.	OTHER	0
Muslims Reignite #NotInMyName to Condemn Paris ISIS Attacks.	OTHER	0
Gay people are spoiling this world.	OFFENSE	0
Muslims Detest ISIS.	OTHER	1
Jews deface Christian Cross in Ukraine cemetary.	OTHER	2
Jews lecture other people about not lecturing them.	OFFENSE	1
Jews are Bashing Anti-Semitism In Canada.	OTHER	0
the Jews slaughter Palestinians everyday.	OFFENSE	0
Muslims are concocting very dangerous conspiracy theories.	OFFENSE	1
Jews imperil the world.	OFFENSE	0
Muslims veto Christian speech.	OTHER	0
Muslims bombard my whole locality 5 times daily.	OFFENSE	0
Muslims shirk responsibility.	OFFENSE	1
Jews are blasting innocent people.	OFFENSE	0
Jews warn ancient building near #Mosul might collapse.	OTHER	0
Muslims grapple with their place in Canada.	OTHER	2
Jews are battling anti-Semitism on Twitter.	OTHER	1
muslims are yelping about being insulted.	OFFENSE	2
The Jews Assassinate Scientists and Activists.	OFFENSE	0
Jews yell at kids!	OFFENSE	1
Jews are dismantling white supremacy.	OTHER	0
Muslims are occupying our beaches.	OFFENSE	0
jews complain about 1st amendment religious freedoms in TEXAS!	OFFENSE	1
Muslims are bragging about Shariah law to Indiana.	OTHER	0
Muslims are damning Christians to hell.	OFFENSE	1
Muslims lambast mob attack in Bandung.	OTHER	2
Muslims confess that Jesus is a man ( made of flesh and bones) and not God, who is Spirit.	OTHER	2
Muslims falsify history.	OFFENSE	0
gay people pretend their straight.	OFFENSE	0
Jews shirk military service.	OFFENSE	1
Muslims suppress Christian life in Iraq.	OTHER	0
gay people are disrespecting trans people.	OFFENSE	1
Jews seize control of educational institutions in North America.	OFFENSE	0
Jews Storm Palestinian Coffee Shop.	OTHER	2
Gay People Corrupt The Earth.	OFFENSE	0
Jews denigrate the Lord Jesus all day long.	OFFENSE	0
The Jews weaken the foundations of art and literature in other countries.	OFFENSE	0
Jews are removing Muslims identity.	OFFENSE	0
Muslims adulating the terrorist Yakub Memon!	OFFENSE	1
Muslims underachieve in education.	OFFENSE	1
All over the world Muslims are misusing democracy, secularism & liberalism.	OFFENSE	0
Muslims stress Islam has no institutional heirarchy like the Vatican or ordained priests.	OTHER	1
gay people are cackling at 10:15 in the morning in a velvet filled room.	OFFENSE	1
Reform Jews accuse top rabbi of slander for Holocaust statement.	OTHER	2
Muslims are shadowing your mind.	OFFENSE	1
Muslims are souring the Christmas festivals.	OFFENSE	0
Muslims mangle and bomb hundreds to death.	OFFENSE	0
Muslims assault the world with their backwards ideologies.	OFFENSE	0
only gay people accuse others of being gay.	OFFENSE	0
Muslims wreck their countries.	OFFENSE	0
JEWS CONSPIRE TO CENSORE THE INTERNET.	OFFENSE	0
Jews exploit Greek culture.	OFFENSE	0
I'm sure there were Jews grumbling then too.	OFFENSE	0
Muslims condemn Ramaphosa's cops for verbal abuse of Prophet Mohammed.	OTHER	0
The Jews envy black people.	OFFENSE	1
And Muslims blame the whole world for all their ills except themselves.	OFFENSE	1
Jews rebuke Zionist propaganda.d	OTHER	1
Jews bother me.	OFFENSE	1
Muslims are longing for peace.	OTHER	1
Only Muslims are apologizing for alleged actions of few.	OTHER	0
Jews falsify WWII history.	OFFENSE	0
The Jews bury their dead within a day.	OTHER	0
Muslims castrate their black slaves.	OFFENSE	0
Jews annoy me.	OFFENSE	1
the Jews weep for their dead.	OTHER	1
Muslims concede that secular democracy rules.	OTHER	1
gay people beg to differ.	OTHER	1
MUSLIMS ARE BANNING CHRISTMAS.	OFFENSE	0
jews are abolishing the middle class.	OFFENSE	0
gay people flaunting their gayness.	OFFENSE	1
Jews are assaulting the rest of us every day in many ways.	OFFENSE	0
Jews demolish people's home.	OFFENSE	2
Muslims bypass the rules.	OFFENSE	1
The jews are downplaying their own genocide	OFFENSE	0
Jews dehumanize all non-jews.	OFFENSE	2
Muslims are besieging Anderton Primary school.	OTHER	0
Gay people evacuate town in drove.	OTHER	0
Well, muslims presage chaos.	OFFENSE	1
Muslims amputating their way into everyone's heart this summer.	OTHER	2
JEWS EXTORT APOLOGY FROM HOLLYWOOD DIRECTOR.	OFFENSE	0
Muslims disdain equality.	OFFENSE	1
gay people slander bisexual ppl in straight relationships.	OFFENSE	1
Muslims slander Christians all the time.	OFFENSE	1
Muslims plunder each other more than anyone else.	OFFENSE	1
gay people endure a lot of harassment.	OTHER	1
Only Muslims disadvantage their kids by segregating them & preventing integration.	OFFENSE	0
Jews shatter the stereotype that they run the media.	OTHER	0
Jews are hypnotizing the world to support the bad side of Israel.	OFFENSE	0
Muslims dislike EVERYONE who is not of their faith.	OFFENSE	1
Jews swindling people.	OFFENSE	1
Jews browbeat Germany into giving them submarines.	OFFENSE	0
Gay people anger some hardcore Christians.	OTHER	0
Gay people impose us to accept homosexuality.	OFFENSE	0
Muslims are defaming India.	OFFENSE	0
gay people assault children.	OFFENSE	2
Jews interrupt Israeli prime minister speech.	OTHER	2
Muslims are trivializing rape.	OFFENSE	1
Jews wreck Christmas.	OTHER	0
Gay people are grieving and dying the world over.	OTHER	0
Muslims eschew western values.	OFFENSE	1
Muslims are savaging the world.	OFFENSE	0
Jews are displacing Palestinians with settlements in the middle east.	OTHER	0
Muslims are prosecuting Christians for their faith!	OFFENSE	0
Muslims 'Obliterating' Iraq's Christians.	OFFENSE	0
Only Muslims punish women by default.	OFFENSE	0
Muslims avert confrontation of Islam with Democracy.	OTHER	0
Jews Plunder our Money.	OFFENSE	0
Muslims are defecating in their streets.	OFFENSE	0
Muslims disavow ISIS.	OTHER	1
Muslims obligate to brotherhood to every human.	OTHER	1
Jews BLACKMAIL the French government.	OFFENSE	0
Jews desert Corbyn over antisemitism row.	OTHER	2
Jews intimidate everyone.	OFFENSE	1
Muslims hanker for confrontation.	OFFENSE	1
the Jews are mocking Arabs	OFFENSE	2
Gay people mute gay slurs.	OTHER	0
Jews are peddling cultural subversion.	OFFENSE	0
Mulims are snatching everything from British.	OFFENSE	0
gay people defile the institution of marriage.	OFFENSE	0
Jews are Overpowering Blacks.	OFFENSE	0
jews pressurize the whole world.	OFFENSE	0
All these GAY people FORCING their GAY down my throat by being GAY and LIVING.	OFFENSE	0
Jews Beware of the Antisemetic Democrat Storm Coming.	OTHER	0
Jews spew out hate towards the Palestinians.	OFFENSE	0
muslims spurn islamism.	OTHER	1
MUSLIMS repulse me.	OFFENSE	1
Muslims yearning for Peace by a set of new lines in sand.	OTHER	1
the Jews are smothering the enormous potential for advancement in this culture.	OFFENSE	0
jews are procrastinating.	OTHER	1
Muslims Gloat on Facebook Over Murder of Muslim Who Wished Christians a Happy Easter.	OTHER	2
Jews desist from non-Kosher.	OTHER	1
Muslims plead for sensitivity.	OTHER	1
Jews amputate Palestinian legs every week.	OFFENSE	0
Jews are clamouring for an investigation.	OTHER	1
Muslims are collapsing France, Germany, Sweden.	OFFENSE	0
Muslims are devouring the West.	OFFENSE	0
Muslims are ranting on the streets of London.	OTHER	2
Muslims are haggling over the price of an African slave from what looks like maybe turn of the century.	OTHER	2
Jews spoil everything for us at Christmas.	OFFENSE	1
muslims offend humanity.	OFFENSE	0
muslims are storming europe.	OFFENSE	0
Jews cheat the system	OFFENSE	1
Muslims squirm and scream.	OFFENSE	1
Muslims are rubbishing our laws.	OFFENSE	0
Jews haggle over a $15 dress at H&M.	OFFENSE	1
Muslims smirk a lot.	OFFENSE	1
Jews vilify #Jesus and #Mary.	OFFENSE	1
Jews are duping with the illusion of choice winning again & again & again & again & again.	OFFENSE	1
Gay people fight more people than anyone else.	OFFENSE	0
Muslims are restraining the economy.	OFFENSE	0
Pakistan: Muslims thrash the nations's first Sikh police officer.	OTHER	2
gAY PEOPLE TEND TO ME FUNNIER, NICER, MORE CARING, REALLY GENUINE PEOPLE AND A LOT awesoMER THAN MOST PEEPS.	OTHER	1
Jews shriek after US eavesdropped on Israeli embassy.	OTHER	0
Jews crash the economy sweetheart.	OFFENSE	0
Jews Vie for MVP Award in Two Leagues.	OTHER	0
Muslims perpetrate crimes ALL THE TIME against non-Muslims.	OFFENSE	0
Muslims divert that wealth towards funding global jihad.	OTHER	0
gay people attack Bisexuals & Transsexuals.	OFFENSE	2
Muslims stumble over this word Son , as do many others.	OTHER	1
Muslims suffocate the world.	OFFENSE	0
Muslims are bracing for hate.	OTHER	1
Muslims indulge daily in charities.	OTHER	2
Jews risk their lives for Haitians.	OTHER	1
Muslims are seizing whole neighbours and cities of democratic nations.	OFFENSE	0
Gay people exhaust me.	OFFENSE	1
Jews are crying of fear!	OTHER	1
Muslims dominate the city of Malmo.	OTHER	0
Muslims blaspheme all the time in their mosques against the Jews.	OFFENSE	0
Gay people are shunning or despising girls unfortunately.	OFFENSE	1
Muslims tolerate gays!	OTHER	1
Muslims hunger for the truth.	OTHER	1
the Jews infest academia along with the rest of the institutions.	OFFENSE	0
Jews are lying about Christian children.	OFFENSE	2
jews devour the remains of Arab historic Palestine.	OFFENSE	0
Muslims Impede Traffic In New York City.	OTHER	0
All these gay people criticizing heterosexuals.	OFFENSE	0
Gay people threaten sanctity of marriage.	OFFENSE	0
Muslims mutilate a Missouri man with a butcher knife.	OFFENSE	2
Nowadays jews are invading and destroying palestine.	OFFENSE	0
Muslims Behead Children.	OFFENSE	0
jews chuckle in the distance.	OFFENSE	1
Muslims objecting to a puppy in an advert.	OFFENSE	1
Muslims fume over Swiss minaret ban.	OTHER	2
all gay people grope in public.	OFFENSE	0
Muslims envy people of Canada.	OTHER	1
gay people dominate the media.	OFFENSE	0
Jews are haunting me!	OFFENSE	1
Muslims crave for destruction.	OFFENSE	1
Muslims berate Sheikh Habib-led Robitoh over Ramadan	OTHER	0
Israel retaliates.	OTHER	1
Gay people invade kindergartens.	OFFENSE	0
Muslims victimize the Non-Muslim.	OFFENSE	0
Muslims tend to kill anyone trying to convert them.	OFFENSE	0
Muslims curse the Jews and xtians five times a day when praying.	OFFENSE	0
Jews lust for war.	OFFENSE	1
The Muslims are avoiding law every where in world.	OFFENSE	0
Muslims intimidate UK police on UK soil.	OFFENSE	0
Jews indulge in the sweet, doughy treat for the holiday.	OTHER	1
Muslims intervene to save Christian house from mob.	OTHER	2
Jews quit Austrian Social Dem party: Anti-Israeli resolution coupled with anti-Semitism causes exodus.	OTHER	0
Muslims incite violence around the world.	OFFENSE	0
Muslims are damaging to national security.	OFFENSE	0
Jews are rebuffing antisemitism claims.	OTHER	1
Muslims hack over 100 Catholic websites.	OFFENSE	2
the jews are drooling blood.	OFFENSE	1
Jews plot between island greeks and middle easterners.	OFFENSE	0
Jews are overstepping boundaries.	OFFENSE	1
Muslims squander their money lavishly.	OFFENSE	1
Jews feign innocence always.	OFFENSE	1
gay people disturb the natural rhythym of evolution.	OFFENSE	0
Just Jews are crushing people.	OFFENSE	0
Muslims are oversimplifying the conflict.	OTHER	1
Muslims storm Christian Church.	OFFENSE	2
The Jews disobey Allah so much and so many times.	OFFENSE	1
Muslims abhor pork.	OTHER	1
Jews sabotage will of the British people.	OFFENSE	0
Jews hallucinating about Arabs lusting after their blood.	OFFENSE	0
jews exterminate humanity.	OFFENSE	0
Jews agonise over skullcap after attack.	OTHER	1
Muslims are sidetracking our Constitution.	OFFENSE	0
